Pays_Ou_Entites,Total_cas_confirmés,Total_deces,Superficie_(En_Km2),Population_Mi-2019,Taux_De_Natalite_(Pour_1_000_Habitants),Taux_De_Mortalite_(Pour_1_000_Habitants),Projection_De_La_Population_En_2050,Taux_De_Mortalite_Infantile_(Pour_1_000_Naissances),Indice_Synthetique_De_Fecondite_(Enfants_Par_Femme),Proportion_De_Moins_De_15_Ans_(En_%),Population_de_moins_de_15_ans,Proportion_De_65_Ans_Ou_Plus_(En_%),Population_de_65_ans_ou_plus,Esperance_De_Vie_A_La_Naissance_Hommes_Femmes_(En_Annees),Revenu_National_Brut_P.P.A._Par_Hab._En_2018_(En_Dollars_Us),Lat,Long,Total_cas_remission,Fatality_Rate,value,labels
Afghanistan,4056576,126077,159088000,9272000000.0,7808,1464,15860000000,11956.0,1049.1999999999953,102.48000000000035,38942400.0,7.320000000000016,278160000.0,15372.0,478240.0,8281.142840000019,16521.228531999932,2398631,3.107965929887669,1,-1
Afrique du Sud,44592708,893014,297924000,14298400000.0,4880,2196,18544000000,6344.0,585.5999999999973,70.75999999999999,41465360.0,12.200000000000038,714920000.0,14884.0,3228120.0,-7456.518000000024,5596.75,33301273,2.0026009633682706,1,-1
Albanie,679314,20165,7076000,707600000.0,2928,1952,585600000,1952.0,390.4000000000012,41.480000000000246,1202920.0000000002,34.160000000000096,99064000.00000001,18788.0,3162240.0,10041.405199999988,4921.0651999999955,384363,2.9684358043555705,1,-1
Algerie,3483151,158731,581208000,10516400000.0,5856,1220,14884000000,4880.0,732.0,75.64000000000026,32600840.0,17.080000000000048,736148000.0000001,18544.0,3745400.0,6840.271600000025,404.9424000000018,2367555,4.557109352996755,1,-1
Allemagne,34378718,1390500,87108000,20374000000.0,2196,2684,19520000000,732.0,390.4000000000012,34.160000000000096,28523600.0,53.67999999999983,4482280000.0,19276.0,13615200.0,12484.42860400003,2550.1723439999946,29011796,4.044653439374906,1,-1
Andorre,158056,8376,122000,19520000.0,1708,976,19520000,732.0,244.0,34.160000000000096,27328.0,243756.0,243756.0,243756.0,243756.0,10371.537199999955,371.31919999999985,119743,5.299387558839904,2,-1
Angola,155898,6645,304268000,7759200000.0,9760,1952,18788000000,14152.0,1317.600000000002,114.67999999999978,36468240.0,4.879999999999984,155184000.0,14152.0,1500600.0,-2733.458799999996,4361.231600000004,57229,4.2624023399915325,1,-1
Antigua-et-Barbuda,9723,494,107360,24400000.0,3660,1464,26840000,1220.0,488.0,53.67999999999983,53680.0,21.959999999999972,2196000.0,18544.0,6139040.0,4162.835200000021,-15078.321599999934,7339,5.080736398230998,2,-1
Arabie saoudite,29494008,310592,524600000,8369200000.0,4148,976,10980000000,1464.0,561.2000000000008,61.0,20923000.0,7.320000000000016,251076000.0,18056.0,13578600.0,5828.169847999978,10999.315528,23971866,1.0530681350598399,1,-1
Argentine,25658804,527740,678320000,10931200000.0,4148,1952,13420000000,2440.0,536.7999999999987,61.0,27328000.0,26.839999999999915,1202432000.0,17812.0,243756.0,-9373.528400000045,-15522.474800000033,16435283,2.056759933159784,1,-1
Armenie,3983189,74483,7320000,732000000.0,3416,2440,683200000,2440.0,439.2000000000018,51.24000000000017,1537200.0,26.839999999999915,80520000.0,17324.0,2552240.0,9776.860400000001,10989.320800000049,2890433,1.8699338645492343,1,-1
Australie,2295019,41768,1888804000,6148800000.0,3172,1708,8052000000,732.0,439.2000000000018,46.35999999999992,11682720.0,39.03999999999987,983808000.0,19764.0,12182920.0,-7795.921999999984,28269.96199999992,1709827,1.819941359962597,1,-1
Autriche,3534453,112526,20496000,2196000000.0,2440,2440,2196000000,732.0,366.0,34.160000000000096,3074400.0000000005,46.35999999999992,417240000.0,19276.0,13654240.0,11593.952800000005,3550.224399999989,2912171,3.183689244134807,1,-1
Azerbaidjan,3123237,43311,21228000,2440000000.0,3904,1708,2684000000,4880.0,512.4000000000023,56.11999999999973,5612000.0,14.640000000000033,146400000.0,17324.0,4165080.0,9794.916399999986,11608.763600000004,2518744,1.38673434004528,1,-1
Bahamas,114931,3364,3416000,95160000.0,3416,1708,122000000,1464.0,414.79999999999825,53.67999999999983,209352.0,17.080000000000048,6661200.000000001,17568.0,7544480.0,6106.315940000003,-19040.756916000013,42295,2.9269735754496176,1,-1
Bahrein,4602422,15352,170800,390400000.0,3416,488,561200000,1464.0,488.0,46.35999999999992,741760.0,7.320000000000016,11712000.0,18544.0,10887280.0,6350.710000000021,12334.19999999996,3948004,0.33356350199959933,1,-1
Bangladesh,25266123,339704,35136000,39772000000.0,4392,1464,47092000000,6100.0,488.0,65.88000000000031,107384400.0,12.200000000000038,1988600000.0,17324.0,1112640.0,5779.14000000002,22046.937199999935,14271551,1.3445038639287872,1,-1
Barbade,19554,1130,104920,70760000.0,2684,2196,68320000,2440.0,390.4000000000012,41.480000000000246,120292.0,39.03999999999987,11321600.0,19032.0,4304160.0,3219.311600000017,-14528.540800000015,14919,5.77886877365245,2,-1
Belgique,10907705,1518598,7564000,2806000000.0,2684,2440,2928000000,732.0,414.79999999999825,41.480000000000246,4770200.000000001,46.35999999999992,533140000.0,19276.0,12558680.0,12403.32520000003,1090.6643839999958,2648268,13.922250372557746,3,-1
Belize,45842,760,5612000,95160000.0,5124,1220,146400000,2928.0,561.2000000000008,73.19999999999966,285480.0,12.200000000000038,4758000.0,17568.0,2000800.0,4194.3355999999885,-21593.414399999972,13613,1.657868330352079,1,-1
Benin,181488,3273,27572000,2879200000.0,8784,2196,5856000000,14396.0,1171.1999999999946,102.48000000000035,12092640.0,7.320000000000016,86376000.0,14640.0,585600.0,2271.0788000000016,565.0552000000017,118449,1.8034250198360222,1,-1
Bhoutan,14817,0,11468000,195200000.0,4148,1464,219600000,5368.0,488.0,61.0,488000.0,14.640000000000033,11712000.0,17324.0,2361920.0,6713.464799999971,22065.798400000054,9903,0.0,1,-1
Bielorussie,8407303,65160,50752000,2318000000.0,2928,2928,2196000000,732.0,414.79999999999825,41.480000000000246,3940600.0,36.59999999999983,347700000.0,17080.0,4684800.0,13105.191200000027,6820.629600000027,6604402,0.7750404618460879,1,-1
