,Country_Region,Lat,Long,Date,value,Country_FR
0,Afghanistan,33.93911,67.709953,2020-01-22,0,Afghanistan
266,Afghanistan,33.93911,67.709953,2020-01-23,0,Afghanistan
532,Afghanistan,33.93911,67.709953,2020-01-24,0,Afghanistan
798,Afghanistan,33.93911,67.709953,2020-01-25,0,Afghanistan
1064,Afghanistan,33.93911,67.709953,2020-01-26,0,Afghanistan
1330,Afghanistan,33.93911,67.709953,2020-01-27,0,Afghanistan
1596,Afghanistan,33.93911,67.709953,2020-01-28,0,Afghanistan
1862,Afghanistan,33.93911,67.709953,2020-01-29,0,Afghanistan
2128,Afghanistan,33.93911,67.709953,2020-01-30,0,Afghanistan
2394,Afghanistan,33.93911,67.709953,2020-01-31,0,Afghanistan
2660,Afghanistan,33.93911,67.709953,2020-02-01,0,Afghanistan
2926,Afghanistan,33.93911,67.709953,2020-02-02,0,Afghanistan
3192,Afghanistan,33.93911,67.709953,2020-02-03,0,Afghanistan
3458,Afghanistan,33.93911,67.709953,2020-02-04,0,Afghanistan
3724,Afghanistan,33.93911,67.709953,2020-02-05,0,Afghanistan
3990,Afghanistan,33.93911,67.709953,2020-02-06,0,Afghanistan
4256,Afghanistan,33.93911,67.709953,2020-02-07,0,Afghanistan
4522,Afghanistan,33.93911,67.709953,2020-02-08,0,Afghanistan
4788,Afghanistan,33.93911,67.709953,2020-02-09,0,Afghanistan
5054,Afghanistan,33.93911,67.709953,2020-02-10,0,Afghanistan
5320,Afghanistan,33.93911,67.709953,2020-02-11,0,Afghanistan
5586,Afghanistan,33.93911,67.709953,2020-02-12,0,Afghanistan
5852,Afghanistan,33.93911,67.709953,2020-02-13,0,Afghanistan
6118,Afghanistan,33.93911,67.709953,2020-02-14,0,Afghanistan
6384,Afghanistan,33.93911,67.709953,2020-02-15,0,Afghanistan
6650,Afghanistan,33.93911,67.709953,2020-02-16,0,Afghanistan
6916,Afghanistan,33.93911,67.709953,2020-02-17,0,Afghanistan
7182,Afghanistan,33.93911,67.709953,2020-02-18,0,Afghanistan
